id,主线,伏笔内容,首次埋设章节,计划回收章节,实际回收章节,状态,关联人物,备注
F001,考试线,AI生成符纹可用但危险越界实操会触发规则惩罚,第1章,第8章,第8章,已回收,菲娜/蓝月/海伦,已通过抄模板判0分完成回收
F002,成长线,菲娜火术短板与临场失控风险,第1章,第8章,第8章,已回收,菲娜/蓝月,从危险不及格到考场优秀
F003,信息战线,信息黑域由强拦截切换为低干预覆盖叙事,第2章,第3章,第3章,已回收,蓝月/萝洁/杰德/诺曼,标志信息战进入第二阶段
F004,核心真相线,命运大模型被包装为命定色盘真实能力仍未公开,第1章,第29章,,埋设中,蓝月/萝洁/菲娜,第14章萝洁诺曼尝试公开真相长文但被流量噪声淹没
F005,反制同盟线,萝洁杰德诺曼用链上存证对抗黑域吞帖,第2章,第12章,第12章,已回收,萝洁/杰德/诺曼,第12章完成事故监控与API特征链上存证并顶到技术区前排
F006,平台商战线,缘与暗月会围绕命定色盘v1.2展开流量与生态争夺,第8章,第10章,第10章,已回收,蓝月/杰德/诺曼,第9-10章已显性呈现流量分化与策略对冲
F007,马特线,马特警告给菲娜留退路暗示未来立场冲突,第1章,第20章,,埋设中,马特/蓝月/菲娜,尚未正面回收
F008,技术失控线,诺亚持续推进符纹自动化与桥接工具潜在事故风险上升,第2章,第10章,第10章,已回收,诺亚/菲娜/蕾雅,第10章桥接器课间演示并出现越界倾向
F009,高环潜质线,菲娜在压力下触及圣光前兆存在越阶潜力与风险,第3章,第12章,第12章,已回收,菲娜/蓝月/诺亚,第12章事故撤离中以近阈值光术稳定照明完成安全回收
F010,关系张力线,蓝月对菲娜保护式控制持续加深埋下亲密冲突,第4章,第11章,第11章,已回收,蓝月/菲娜,第11章通过出门报备与等待焦虑完成一次显性关系拉扯回收
F011,龙族支线,林小雨登场并邀请共研AI符纹连接后续龙族语义与技术线,第9章,第26章,,埋设中,林小雨/菲娜/蓝月,第9章交换联系方式并完成首次平手切磋
F012,候选使徒线,蓝月将诺亚标记为潜在使徒候选并选择暂缓干预,第10章,第18章,,埋设中,蓝月/诺亚,第15章诺亚收到约谈通知仍态度随意强化其风险偏好标签
F013,事故引信线,符文桥接器扩散后被滥用将引发校园实操事故,第10章,第12章,第12章,已回收,诺亚/菲娜/魔法师协会,第12章课堂2环符文失控爆炸与协会介入调查已落地
F014,使徒扩张线,蓝月接触并收编埃文作为第一使徒后续将参与任务执行,第11章,第18章,,埋设中,蓝月/埃文/菲娜,第11章网吧完成绑定Apostle_01
F015,审查博弈线,协会安全审查升级后蓝月以替身模型蒸馏构建可审计外壳应对约谈,第12章,第16章,第16章,已回收,蓝月/杰德/海伦/诺曼,第16章完成约谈前夜最终校验并固化A3_interview_final
F016,黑域干预线,萝洁诺曼在缘发布命运大模型长文后遭预置刷屏淹没,第14章,第15章,第15章,已回收,蓝月/萝洁/诺曼/杰德,第15章杰德诺曼确认异常分发并转入线下直接约谈
